sample_index,wall_time_s,elapsed_s,tick,mode_machine,arm0,arm1,arm2,arm3,arm4,arm5,arm6,arm7,arm8,arm9,arm10,arm11,arm12,arm13
687,1782728489.458108187,23.505391207,3498909,5,0.2915762,0.2062965,-0.0100188,0.9878357,0.2147813,0.0509569,-0.0636362,0.2967414,-0.2101554,0.0327409,0.9874522,-0.1185240,0.0642954,0.0480807
688,1782728489.491390467,23.537487589,3498942,5,0.2915762,0.2063084,-0.0100308,0.9878477,0.2148053,0.0509330,-0.0636243,0.2967414,-0.2101793,0.0327409,0.9874642,-0.1185240,0.0642954,0.0480927
689,1782728489.524517536,23.571081713,3498976,5,0.2915642,0.2063084,-0.0100188,0.9878357,0.2147813,0.0509449,-0.0636482,0.2967654,-0.2101554,0.0327529,0.9874522,-0.1185000,0.0643074,0.0480927
690,1782728489.558847904,23.603872741,3499010,5,0.2915762,0.2063084,-0.0100188,0.9878357,0.2147693,0.0509449,-0.0636482,0.2967534,-0.2101554,0.0327289,0.9874522,-0.1185240,0.0642954,0.0480927
691,1782728489.591085196,23.638435632,3499042,5,0.2915762,0.2062965,-0.0100188,0.9878117,0.2147693,0.0509449,-0.0636243,0.2967654,-0.2101554,0.0327409,0.9874522,-0.1185000,0.0642834,0.0480927
692,1782728489.624186993,23.670483308,3499075,5,0.2915642,0.2062965,-0.0100188,0.9878237,0.2147693,0.0509449,-0.0636362,0.2967534,-0.2101554,0.0327409,0.9874762,-0.1185000,0.0642954,0.0480927
693,1782728489.659406424,23.704143835,3499111,5,0.2915762,0.2062965,-0.0100308,0.9878357,0.2147693,0.0509449,-0.0636243,0.2967414,-0.2101554,0.0327529,0.9874522,-0.1184521,0.0642954,0.0480807
694,1782728489.690611601,23.738943310,3499142,5,0.2915522,0.2062965,-0.0100308,0.9878357,0.2147573,0.0509449,-0.0636362,0.2967534,-0.2101554,0.0327529,0.9874522,-0.1185120,0.0642954,0.0480807
695,1782728489.726106167,23.770672479,3499177,5,0.2915522,0.2063084,-0.0100188,0.9878477,0.2147693,0.0509569,-0.0636362,0.2967534,-0.2101554,0.0327529,0.9874522,-0.1185719,0.0642954,0.0480927
696,1782728489.756511450,23.805779484,3499208,5,0.2915762,0.2062965,-0.0100188,0.9878357,0.2147693,0.0509449,-0.0636482,0.2967654,-0.2101554,0.0327289,0.9874762,-0.1185599,0.0642834,0.0480807
697,1782728489.794486761,23.836245190,3499245,5,0.2915642,0.2062965,-0.0100308,0.9878357,0.2147693,0.0509569,-0.0636362,0.2967654,-0.2101554,0.0327529,0.9874762,-0.1184880,0.0642954,0.0481047
698,1782728489.828413963,23.874328001,3499280,5,0.2915762,0.2062965,-0.0100188,0.9878477,0.2147453,0.0509569,-0.0636482,0.2967654,-0.2101554,0.0327409,0.9874642,-0.1184281,0.0642954,0.0480807
699,1782728489.900849104,23.907865132,3499352,5,0.2915762,0.2063084,-0.0100188,0.9878357,0.2147813,0.0509449,-0.0636482,0.2967534,-0.2101793,0.0327529,0.9874522,-0.1184760,0.0642954,0.0480807
700,1782728489.909326315,23.980365935,3499360,5,0.2915642,0.2062965,-0.0100188,0.9878357,0.2147573,0.0509449,-0.0636362,0.2967654,-0.2101793,0.0327409,0.9874522,-0.1184760,0.0642954,0.0480807
701,1782728489.956702948,23.988559892,3499408,5,0.2915642,0.2062965,-0.0100188,0.9878357,0.2147214,0.0509330,-0.0636482,0.2967294,-0.2101554,0.0327409,0.9874762,-0.1185120,0.0642954,0.0480927
702,1782728489.986275911,24.036918966,3499437,5,0.2915642,0.2063084,-0.0100188,0.9878357,0.2147094,0.0509330,-0.0636482,0.2967534,-0.2101554,0.0327529,0.9874522,-0.1185480,0.0642954,0.0480687
703,1782728490.017555475,24.065965618,3499469,5,0.2915642,0.2062965,-0.0100428,0.9878477,0.2147214,0.0509569,-0.0636482,0.2967414,-0.2101554,0.0327529,0.9874762,-0.1185240,0.0642954,0.0480807
704,1782728490.057697058,24.097258582,3499509,5,0.2915762,0.2063084,-0.0100308,0.9878357,0.2147094,0.0509449,-0.0636362,0.2967414,-0.2101554,0.0327289,0.9874522,-0.1185719,0.0642954,0.0480927
705,1782728490.091895103,24.137475477,3499543,5,0.2915522,0.2063084,-0.0100308,0.9878357,0.2147094,0.0509449,-0.0636362,0.2967654,-0.2101793,0.0327409,0.9874522,-0.1185000,0.0642954,0.0480807
706,1782728490.118329048,24.171817145,3499569,5,0.2915642,0.2062965,-0.0100188,0.9878357,0.2146974,0.0509569,-0.0636482,0.2967534,-0.2101793,0.0327409,0.9874642,-0.1185000,0.0642954,0.0480927
707,1782728490.156114101,24.197574828,3499607,5,0.2915642,0.2062965,-0.0100188,0.9878357,0.2147094,0.0509569,-0.0636362,0.2967654,-0.2101554,0.0327529,0.9874522,-0.1185000,0.0642954,0.0480807
708,1782728490.190505266,24.235422624,3499642,5,0.2915762,0.2062965,-0.0100308,0.9878237,0.2147094,0.0509449,-0.0636722,0.2967534,-0.2101554,0.0327529,0.9874522,-0.1185240,0.0642954,0.0481047
709,1782728490.229374409,24.270071950,3499681,5,0.2915642,0.2062965,-0.0100188,0.9878237,0.2147094,0.0509449,-0.0636362,0.2967534,-0.2101554,0.0327529,0.9874762,-0.1185240,0.0642954,0.0480807
710,1782728490.261948586,24.308619480,3499713,5,0.2915762,0.2063084,-0.0100308,0.9878357,0.2146974,0.0509689,-0.0636482,0.2967414,-0.2101554,0.0327529,0.9874522,-0.1184880,0.0642954,0.0480927
711,1782728490.293228149,24.341450988,3499744,5,0.2915642,0.2063084,-0.0100188,0.9878357,0.2146974,0.0509569,-0.0636243,0.2967414,-0.2101793,0.0327409,0.9874522,-0.1185000,0.0642954,0.0480807
712,1782728490.327135801,24.373002328,3499778,5,0.2915642,0.2062965,-0.0100188,0.9878357,0.2146854,0.0509449,-0.0636362,0.2967534,-0.2101554,0.0327169,0.9874762,-0.1184880,0.0642834,0.0480927
713,1782728490.358552694,24.407089748,3499810,5,0.2915762,0.2062845,-0.0100188,0.9878357,0.2146375,0.0509569,-0.0636482,0.2967654,-0.2101554,0.0327409,0.9874522,-0.1185000,0.0642834,0.0480927
714,1782728490.391985893,24.438370103,3499843,5,0.2915522,0.2063084,-0.0100308,0.9878357,0.2146614,0.0509569,-0.0636362,0.2967774,-0.2101793,0.0327289,0.9874522,-0.1184760,0.0643074,0.0480807
715,1782728490.425225019,24.471907009,3499876,5,0.2915642,0.2063084,-0.0100308,0.9878357,0.2146734,0.0509330,-0.0636362,0.2967534,-0.2101554,0.0327529,0.9874522,-0.1185000,0.0643074,0.0480927
